Category: All categories,,
,,
Region,gift for boyfriend: (2/14/13 - 2/14/18),gift for girlfriend: (2/14/13 - 2/14/18)
New Hampshire,100,50
New York,99,58
South Dakota,88,<1
Hawaii,87,49
Pennsylvania,85,58
Michigan,84,50
New Jersey,83,51
Alabama,83,50
West Virginia,83,45
Mississippi,82,51
Indiana,82,51
Kentucky,81,45
Massachusetts,81,53
Wisconsin,78,46
Connecticut,77,46
North Carolina,76,41
Iowa,75,56
Delaware,75,41
Rhode Island,75,61
Arkansas,75,51
Maine,74,<1
Illinois,73,46
Ohio,73,46
Texas,72,42
Georgia,72,43
California,72,46
South Carolina,71,48
Kansas,71,46
Missouri,70,50
Minnesota,70,46
Nebraska,70,55
Oklahoma,70,33
Arizona,69,40
Tennessee,69,42
Florida,68,41
Virginia,68,47
Louisiana,67,47
Maryland,67,44
District of Columbia,65,40
Idaho,64,<1
Utah,64,39
New Mexico,64,38
Colorado,58,40
Nevada,55,46
Washington,54,55
Oregon,40,<1
